organisation,author,created,last_modified,package_title,file_title,date_from,date_to,description,licence,info,url
State Library of Victoria,,2017-09-28T07:29:13.631362,2017-09-28T07:29:13.631362,Argus Historical Newspaper Front Pages,Argus historical newspaper front pages,,,"Further details about this specific data resource, to be displayed on the Preview page",Creative Commons Attribution 4.0 International,https://www.data.vic.gov.au/data/dataset/fdf4917b-a71a-4d1c-a792-8cb1e49cfdd8,https://raw.githubusercontent.com/statelibraryvic/opendata/argus_newspaper_frontpages.csv
State Library of Victoria,,2017-03-29T13:57:38.520962,2017-03-29T13:57:38.520962,Melbourne City Landmarks - Historical Images,Melbourne City Landmarks,,,"Further details about this specific data resource, to be displayed on the Preview page",Creative Commons Attribution 4.0 International,https://www.data.vic.gov.au/data/dataset/e651b9e7-e47e-4959-a9d9-825ec42e5c1c,https://raw.githubusercontent.com/statelibraryvic/opendata/blob/melbourne_city_landmarks.csv
State Library of Victoria,,2017-03-29T14:22:44.095653,2017-03-29T14:22:44.095653,Melbourne and Metropolitan Board of Works (MMBW) - Historical plans,Melbourne and Metropolitan Board of Works (MMBW) - Historical plans ,,,"Further details about this specific data resource, to be displayed on the Preview page",Creative Commons Attribution 4.0 International,https://www.data.vic.gov.au/data/dataset/52d9a583-8edf-4f9a-93a3-278a3a28c1d1,https://raw.githubusercontent.com/statelibraryvic/opendata/blob/melbourne_and_metropolitan_board_of_works_plans.csv
State Library of Victoria,,2017-03-29T14:05:06.884608,2017-03-29T14:05:06.884608,"Melbourne and metropolitan hotels, pubs and publicans - Historical Lists","Melbourne and metropolitan hotels, pubs and publicans   ",,,"Further details about this specific data resource, to be displayed on the Preview page",Creative Commons Attribution 4.0 International,https://www.data.vic.gov.au/data/dataset/b227d8e7-88f0-4c9e-8ab9-dcc89da0b619,https://raw.githubusercontent.com/statelibraryvic/opendata/blob/melbourne_and_metropolitan_hotels_pubs_and_publicans.csv
State Library of Victoria,,2017-03-29T14:12:01.935326,2017-03-29T14:12:01.935326,Victorian Hotels - Historical Images,Victorian hotels,,,"Further details about this specific data resource, to be displayed on the Preview page",Creative Commons Attribution 4.0 International,https://www.data.vic.gov.au/data/dataset/e213c601-315e-430e-b308-1faca7964f99,https://raw.githubusercontent.com/statelibraryvic/opendata/blob/victorian_hotels.csv
State Library of Victoria,,2018-03-14T13:19:27.909230,2018-03-14T13:19:27.909230,Victorian country hotels and licensees,Victorian country hotels and licensees,,,Historical information about hotels and licensees in country Victoria.,Creative Commons Attribution Share Alike 4.0 International,https://www.data.vic.gov.au/data/dataset/19d62256-3a38-4ce2-9a93-b940f7eeebec,https://raw.githubusercontent.com/statelibraryvic/opendata/victorian_country_hotels_and_licensees.csv
State Library of Western Australia,,2016-07-25T05:38:11.949865,2016-07-25T05:38:11.949865,Adopt a Soldier,Adopt a Soldier photographs (csv),,,"A collection of more than 700 photographs of World War I soldiers was digitised in 1999 as part of the Adopt-A-Soldier project.

The CSV contains limited bibliographic data from this collection including title of image; subject; description of resource and a link to the image on the SLWA website.

Tools used to create this dataset: 
<ul>
<li>[MarcEdit](http://marcedit.reeset.net/about-marcedit)</li>
<li>[AACR2 - Anglo American Cataloguing Rules](http://www.aacr2.org/)</li>
<li>[RDA  - Resource Description and Access](www.rdatoolkit.org/about)</li>
<li>[LCSH - Library of Congress Subject Headings](http://www.loc.gov/aba/cataloging/subject/)</li>
</ul>
",Creative Commons Attribution,https://data.wa.gov.au/dataset/706ed446-6f0a-42fd-aba5-8e4295675107,https://catalogue.data.wa.gov.au/dataset/706ed446-6f0a-42fd-aba5-8e4295675107/resource/8601e3a3-b983-4a9d-a084-6a86df0939c1/download/adopt-a-soldier-2.csv
State Library of Western Australia,State Library of Western Australia,2015-06-02T02:56:35.029886,2015-06-02T02:56:35.029886,Adopt a soldier,Adopt a soldier (CSV),1914,1918,"A collection of more than 700 photographs of World War I soldiers was digitised in 1999 as part of the Adopt-A-Soldier project. 

The CSV contains limited bibliographic data from this collection including title of image; subject; description of resource and a link to the image on the SLWA website.  

Tools used to create this dataset: 
[AACR2 - Anglo American Cataloguing Rules](http://www.aacr2.org/)
[RDA  - Resource Description and Access](www.rdatoolkit.org/about)
[LCSH - Library of Congress Subject Headings](http://www.loc.gov/aba/cataloging/subject/)
[MarcEdit](http://marcedit.reeset.net/about-marcedit)",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ec1873b-fae6-4238-a5c1-b822d57a4b27,https://data.gov.au/dataset/1ec1873b-fae6-4238-a5c1-b822d57a4b27/resource/8a215164-ef93-4312-b5fe-618dab0e32cc/download/adoptasoldier2.csv
State Library of Western Australia,State Library of Western Australia,2016-02-12T17:21:33.548066,2016-02-12T17:21:33.548066,Bird Songs Online,Bird Song Online ,1962-01-01,1988-12-31,"This is the CSV version of the dataset.  

John Hutchinson is an ornithologist and a birdcall recordist.  This dataset contains all the bibliographic record data for the digitised and available online bird song recordings by John Hutchinson in the SLWA catalogue.  The records include links to the online recordings.",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1bcc5cc5-7f90-4542-bdc8-93898e8108e4,https://data.gov.au/dataset/1bcc5cc5-7f90-4542-bdc8-93898e8108e4/resource/ef2c8a26-efc6-4f57-8149-7ea2ad75ce3a/download/birdsongonlinefinal.csv
State Library of Western Australia,,2016-07-25T04:43:03.122573,2016-07-25T04:43:03.122573,Bird songs online,Birdsongs Online,,,CSV including bibliographic description data for the John Hutchinson Collection from the SLWA catalogue.  Data includes links to the recordings online.,Creative Commons Attribution,https://data.wa.gov.au/dataset/9fc37834-e4ee-4e5a-a798-27da5c5af7da,https://catalogue.data.wa.gov.au/dataset/9fc37834-e4ee-4e5a-a798-27da5c5af7da/resource/19e93efa-7c78-4b60-aff0-027e54d11320/download/birdsongonlinefinal.csv
State Library of Western Australia,,2016-07-25T03:56:04.933099,2016-07-25T03:56:04.933099,Digital Photographic Collection,Pictorial collection_csv,,,"The CSV contains limited bibliographic data from this collection including title of image; subject; description of resource and a link to the image on the SLWA website.  
Tools used to create this dataset: 
<ul>
<li>[MarcEdit](http://marcedit.reeset.net/about-marcedit)</li>
<li>[AACR2 - Anglo American Cataloguing Rules](http://www.aacr2.org/)</li>
<li>[RDA  - Resource Description and Access](www.rdatoolkit.org/about)</li>
<li>[LCSH - Library of Congress Subject Headings](http://www.loc.gov/aba/cataloging/subject/)</li>
</ul>",Creative Commons Attribution,https://data.wa.gov.au/dataset/7faa2336-7601-447c-91b0-4b771ee26b6f,https://catalogue.data.wa.gov.au/dataset/7faa2336-7601-447c-91b0-4b771ee26b6f/resource/9117bf08-bd54-4b19-89f8-ca86ae799875/download/slwapictorial.csv
State Library of Western Australia,State Library of Western Australia,2015-06-02T05:22:42.098785,2015-06-02T05:22:42.098785,In Memoriam Cards,In Memoriam (CSV),1914,1919,"A collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes.  
This CSV file contains limited bibliographic data from this collection including title of image; subject; description of resource and a link to the image on the SLWA website.  

Tools used to create this dataset: 
[AACR2 - Anglo American Cataloguing Rules](http://www.aacr2.org/)
[RDA  - Resource Description and Access](www.rdatoolkit.org/about)
[LCSH - Library of Congress Subject Headings](http://www.loc.gov/aba/cataloging/subject/)
[MarcEdit](http://marcedit.reeset.net/about-marcedit)",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/7c4b96b3-a039-4635-9675-1bb8188d74a1,https://data.gov.au/dataset/7c4b96b3-a039-4635-9675-1bb8188d74a1/resource/afbfd4c3-da90-4d97-9365-085199aedf6d/download/inmemoriam.csv
State Library of Western Australia,,2016-07-25T05:42:57.750044,2016-07-25T05:42:57.750044,In Memoriam Cards,In Memoriam Cards (csv),,,"The CSV contains limited bibliographic data from this collection including title of image; subject; description of resource and a link to the image on the SLWA website.  

Tools used to create this dataset: 
[AACR2 - Anglo American Cataloguing Rules](http://www.aacr2.org/)
[RDA  - Resource Description and Access](www.rdatoolkit.org/about)
[LCSH - Library of Congress Subject Headings](http://www.loc.gov/aba/cataloging/subject/)
[MarcEdit](http://marcedit.reeset.net/about-marcedit)",Creative Commons Attribution,https://data.wa.gov.au/dataset/bc4c50bf-3de1-44d1-8484-a07a30bfe974,https://catalogue.data.wa.gov.au/dataset/bc4c50bf-3de1-44d1-8484-a07a30bfe974/resource/16a5e7e1-6f38-4db0-ba23-0fa70a8b6f85/download/in-memoriam.csv
State Library of Western Australia,,2016-07-25T04:08:49.484677,2016-07-25T04:08:49.484677,Krantz & Sheldon Architectural images,Krantz Sheldon (CSV),,,This CSV contains limited bibliographic data from this collection including title of image; subject; description of original resource and a link to the image on the SLWA website. ,Creative Commons Attribution,https://data.wa.gov.au/dataset/1cf612f0-3245-427a-aa92-e78ef79b1ea6,https://catalogue.data.wa.gov.au/dataset/1cf612f0-3245-427a-aa92-e78ef79b1ea6/resource/dcdb13de-231d-4018-bac5-043ccf334ba3/download/krantzsheldon.csv
State Library of Western Australia,State Library of Western Australia,2016-07-22T16:57:05.328817,2016-07-22T16:57:05.328817,Krantz & Sheldon Architectural images,Krantz and Sheldon Photographic Collection,1930-01-01,1989-12-01,This CSV contains limited bibliographic data from this collection including title of image; subject; description of original resource and a link to the image on the SLWA website. ,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/ad1063df-b1e5-48ac-bff4-65c2dab2f7bb,https://data.gov.au/dataset/ad1063df-b1e5-48ac-bff4-65c2dab2f7bb/resource/a78f3ae3-6b9d-4590-8b0a-b8032c385561/download/krantzsheldon.csv
State Library of Western Australia,State Library of Western Australia,2016-07-22T13:35:33.312610,2016-07-22T13:35:33.312610,Lands & Surveys Historic Map Series Western Australia,Land and Surveys Historic Maps 1880-1890 (Captions and URLS),1880-01-01,1890-12-31,"This file contains the bibliographic record number, caption and url for all of the maps in the Historic maps 1880-1890 series.",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/8da6dd8a-207d-4388-acca-5846a0b46972,https://data.gov.au/dataset/8da6dd8a-207d-4388-acca-5846a0b46972/resource/f6af293a-3011-4666-a903-cfe7f721a9f4/download/historicmaps18801890.csv
State Library of Western Australia,,2016-07-25T05:30:13.529027,2016-07-25T05:30:13.529027,Lands and Surveys Historic Map Series,Historic maps 1880-90 (CSV),,,"This file contains the bibliographic record number, caption and url for all of the maps in the Historic maps 1880-1890 series. ",Creative Commons Attribution,https://data.wa.gov.au/dataset/72c0f3f4-64c6-43da-afb8-0aa64dd71c90,https://catalogue.data.wa.gov.au/dataset/72c0f3f4-64c6-43da-afb8-0aa64dd71c90/resource/c89e6e83-fb0d-457d-bcb7-dbea96156ebf/download/historicmaps18801890.csv
State Library of Western Australia,,2016-07-25T01:05:00.703381,2016-07-25T01:05:00.703381,Newspaper Titles at State Library of WA,WA_newspapers_2016,,,"This CSV contains title, publication dates, area of publication and notes about former/later titles for Newspapers published in Western Australia from 1830 onwards to present day.  

The data has been harvested and reformatted from the State Library of Western Australia Catalogue.",Creative Commons Attribution,https://data.wa.gov.au/dataset/c8d68516-0eb8-445d-913a-c2f692366150,https://catalogue.data.wa.gov.au/dataset/c8d68516-0eb8-445d-913a-c2f692366150/resource/09f32d84-6c5c-46c3-bba7-a05a33f3d48f/download/newspapers-wa.csv
State Library of Western Australia,,2018-04-04T03:35:28.210817,2018-04-04T03:35:28.210817,SLWA Commonwealth Games photographs,SLWA Commonwealth Games metadata,,,"Contains: Library control number, collection number, Author (where available), Title, published date,description, notes, summary, subject headings (People, Corporate entities, meeting, topic and geographical headings), Series Entries, Captions for URLs and the URLS for the photographs.",Creative Commons Attribution Share-Alike,https://data.wa.gov.au/dataset/45357ec0-dd39-4d08-b051-6b7d820cb954,https://catalogue.data.wa.gov.au/dataset/45357ec0-dd39-4d08-b051-6b7d820cb954/resource/8143068d-3786-4a25-ad41-99ae2bdc5e43/download/slwa-commonwealth-games-photographs.csv
State Library of Western Australia,,2018-04-04T03:34:33.707594,2018-04-04T03:34:33.707594,SLWA Commonwealth Games photographs,SLWA Commonwealth Games minimal metadata,,,"This file has been simplified in that it includes only: Library control number, collection number, Author (where in record), Title, Published date, Captions for URLs and the URLS. Each URL is in a single row.",Creative Commons Attribution Share-Alike,https://data.wa.gov.au/dataset/45357ec0-dd39-4d08-b051-6b7d820cb954,https://catalogue.data.wa.gov.au/dataset/45357ec0-dd39-4d08-b051-6b7d820cb954/resource/2475c22c-b5d9-4b5c-994a-f4a0fac381ef/download/slwa-commonwealth-games-photographs-minimal-metadata.csv
State Library of Western Australia,State Library of Western Australia,2018-04-04T03:25:48.907763,2018-04-04T03:25:48.907763,SLWA Commonwealth Games photographs,SLWA commonwealth games metadata,1962-11-22,1962-12-1,"Contains: Library control number, collection number, Author (where available), Title, published date,description, notes, summary, subject headings (People, Corporate entities, meeting, topic and geographical headings), Series Entries, Captions for URLs and the URLS for the photographs.",Creative Commons Attribution 2.5 Australia,https://data.gov.au/dataset/86a619d9-2d8b-421c-ae56-7e1d9dc2376c,https://data.gov.au/dataset/86a619d9-2d8b-421c-ae56-7e1d9dc2376c/resource/17319f39-b498-4e0a-a146-2ac3b1d23f61/download/slwa-commonwealth-games-photographs.csv
State Library of Western Australia,State Library of Western Australia,2018-04-04T03:22:30.406717,2018-04-04T03:22:30.406717,SLWA Commonwealth Games photographs,SLWA commonwealth games minimal metadata,1962-11-22,1962-12-1,"This file has been simplified in that it includes only: Library control number, collection number, Author (where in record), Title, Published date, Captions for URLs and the URLS.
Each URL is in a single row.",Creative Commons Attribution 2.5 Australia,https://data.gov.au/dataset/86a619d9-2d8b-421c-ae56-7e1d9dc2376c,https://data.gov.au/dataset/86a619d9-2d8b-421c-ae56-7e1d9dc2376c/resource/332d0edb-c60f-4765-b793-a60fcb1d6b87/download/slwa-commonwealth-games-photographs-minimal-metadata.csv
State Library of Western Australia,State Library of Western Australia,2016-07-22T18:00:28.168871,2016-07-22T18:00:28.168871,State Library of Western Australia digital photographic collection,SLWA Pictorial Collection,1818-01-01,1950-12-31,This CSV contains limited bibliographic data from the SLWA pictorial collection including title of image; subject; description of original resource and a link to the image on the SLWA website. ,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/0ea86081-2a86-43ca-87d1-e678bb55a1eb,https://data.gov.au/dataset/0ea86081-2a86-43ca-87d1-e678bb55a1eb/resource/b6f8ea6d-c8af-4c05-99cc-c46443dcc06e/download/slwapictorial.csv
State Library of Western Australia,,2016-07-25T01:13:35.150038,2016-07-25T01:13:35.150038,WA Public Libraries,WA_Public_Libraries_2016,,,"Simple CSV file with library name, addresses, phone, map references and elevation.",Creative Commons Attribution,https://data.wa.gov.au/dataset/f451a2a7-00a1-44fa-8c6f-f7f98651c234,https://catalogue.data.wa.gov.au/dataset/f451a2a7-00a1-44fa-8c6f-f7f98651c234/resource/06992def-ffed-4a9c-977d-90fd41a363f7/download/libraries20160206.csv
State Library of Western Australia,,2016-07-28T07:35:57.521334,2016-07-28T07:35:57.521334,WABI Subset: Eastern Goldfields,Eastern Goldfields,,,CSV file with headings Card number; card text and URL.,Creative Commons Attribution,https://data.wa.gov.au/dataset/ce97329a-e406-4785-9e86-898e8e6ac1ef,https://catalogue.data.wa.gov.au/dataset/ce97329a-e406-4785-9e86-898e8e6ac1ef/resource/a45ffdb7-e668-472c-825f-3589d3d4a6d1/download/eastern-goldfields-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-29T10:59:43.342804,2016-07-29T10:59:43.342804,WABI Subset: Police,Police,1788-01-01,1914-12-31,This CSV file has 3 columns with the headings: card number; card text and url.,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/88af4469-26ee-4b90-8ad7-0d170e6fcf24,https://data.gov.au/dataset/88af4469-26ee-4b90-8ad7-0d170e6fcf24/resource/2df377c8-f081-45f0-8d26-903bdb3bfd59/download/police-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-29T10:55:52.444611,2016-07-29T10:55:52.444611,WABI subset: Eastern Goldfields,Eastern Goldfields ,1788-01-01,1914-12-31,"The  csv file contains data describing card number, card text and url link to image of the original handwritten card.",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/f4cb0a74-2503-408a-b427-bac1efbe1f4a,https://data.gov.au/dataset/f4cb0a74-2503-408a-b427-bac1efbe1f4a/resource/2877dc04-b54b-4dfb-a5df-f2718ef44631/download/eastern-goldfields-final.csv
State Library of Western Australia,,2016-07-28T07:51:50.036671,2016-07-28T07:51:50.036671,WABI subset: Police,WABI police subset,,,This CSV file has 3 columns with the headings: card number; card text and url.,Creative Commons Attribution,https://data.wa.gov.au/dataset/dd4ee469-0a8b-4da1-bdc3-962f9f515f5c,https://catalogue.data.wa.gov.au/dataset/dd4ee469-0a8b-4da1-bdc3-962f9f515f5c/resource/bdf8c00f-a77b-4f17-a0f4-106cac836010/download/police-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-29T11:03:38.048218,2016-07-29T11:03:38.048218,WABI subset: York,York Census 1859,1788-01-01,1914-12-31,"This csv has three columns with the headings card number, card text and url.",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/31711fd3-1fd4-49bd-a791-fb9ce4e0fe5f,https://data.gov.au/dataset/31711fd3-1fd4-49bd-a791-fb9ce4e0fe5f/resource/0a0cdc1f-57c8-49cf-a622-e32c57ea4dab/download/york-final.csv
State Library of Western Australia,,2016-07-28T07:58:03.144712,2016-07-28T07:58:03.144712,WABI subset: York,York and districts subset,,,"This csv has three columns with the headings card number, card text and url.",Creative Commons Attribution,https://data.wa.gov.au/dataset/ff75fbbd-7b4d-4c1c-a946-2c5fe3073b8c,https://catalogue.data.wa.gov.au/dataset/ff75fbbd-7b4d-4c1c-a946-2c5fe3073b8c/resource/908c0417-e1a4-4cb7-84ae-ad06466508bd/download/york-final.csv
State Library of Western Australia,,2016-07-25T04:33:36.743768,2016-07-25T04:33:36.743768,WWI Centenary Project,SLWA Centenary WWI,,,This CSV contains limited bibliographic data from this collection including title of image; subject; description of original resource and a link to the image on the SLWA website. ,Creative Commons Attribution,https://data.wa.gov.au/dataset/8ab80491-45b9-46b7-89ef-e2f29e9b68e4,https://catalogue.data.wa.gov.au/dataset/8ab80491-45b9-46b7-89ef-e2f29e9b68e4/resource/e9c4901b-1736-426f-8a1b-0cad6b6a6d47/download/slwacentenarywwi2016.csv
State Library of Western Australia,State Library of Western Australia,2016-07-25T13:20:05.689185,2016-07-25T13:20:05.689185,WWI Centenary Project,SLWA_centenary_WWI_2016,1914,1918,"This CSV contains limited bibliographic data from this collection including title of image; subject; description of original resource and a link to the image on the SLWA website.
",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/8a417a19-6c0b-48f5-be0b-754f4dfa5fbe,https://data.gov.au/dataset/8a417a19-6c0b-48f5-be0b-754f4dfa5fbe/resource/cf6f322a-df05-4ee9-a2ed-a6ed9f7550ff/download/slwacentenarywwi2016.csv
State Library of Western Australia,State Library of Western Australia,2015-06-03T08:03:47.226114,2015-06-03T08:03:47.226114,Western Australia Public Library Network,Public Libraries in Western Australia 2014,Not specified,,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9a29e9bd-2051-4bba-b3f3-7c98ee458cbd,https://data.gov.au/dataset/9a29e9bd-2051-4bba-b3f3-7c98ee458cbd/resource/cf302af1-35a1-4960-b012-d11d836a999a/download/libraries20150603.csv
State Library of Western Australia,State Library of Western Australia,2016-07-25T11:19:55.650865,2016-07-25T11:19:55.650865,Western Australia Public Library Network,WA_public_libraries_2016,Not specified,,"New this year: Contains map references (lat and long) and elevation as well as Name, Street and Postal address and phone numbers for WA public libraries.",Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9a29e9bd-2051-4bba-b3f3-7c98ee458cbd,https://data.gov.au/dataset/9a29e9bd-2051-4bba-b3f3-7c98ee458cbd/resource/7368683f-c5c6-41f7-9175-5577aea029c2/download/libraries20160206.csv
State Library of Western Australia,State Library of Western Australia,2013-05-12T11:50:23.070075,2013-05-12T11:50:23.070075,Western Australia Public Library Network,libraries-2011-03-04.csv,Not specified,,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/9a29e9bd-2051-4bba-b3f3-7c98ee458cbd,http://data.gov.au/storage/f/2013-05-12T214946/tmp5CX4qRlibraries-2011-03-04.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T13:10:50.149739,2016-07-28T13:10:50.149739,Western Australian Biographical Index (WABI),Index entries beginning with A,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/7ac1b909-37d5-4833-9e2f-a75a51d4beb8/download/a-final.csv
State Library of Western Australia,,2016-07-28T06:03:00.211332,2016-07-28T06:03:00.211332,Western Australian Biographical Index (WABI),Index entries beginning with A,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/2ef7484c-0268-420f-abab-bbfc33036bf1/download/a-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T13:11:24.580311,2016-07-28T13:11:24.580311,Western Australian Biographical Index (WABI),Index entries beginning with B,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/42618c57-55d1-4443-8eab-55638af4b60c/download/b-final.csv
State Library of Western Australia,,2016-07-28T06:03:18.730159,2016-07-28T06:03:18.730159,Western Australian Biographical Index (WABI),Index entries beginning with B,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/b26eb893-19c8-4d78-ba0c-dcf3ab1f386d/download/b-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T13:11:57.869419,2016-07-28T13:11:57.869419,Western Australian Biographical Index (WABI),Index entries beginning with C,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/2a091b3b-8973-4a91-a4d8-b28c49eb28ba/download/c-final.csv
State Library of Western Australia,,2016-07-28T06:03:39.555964,2016-07-28T06:03:39.555964,Western Australian Biographical Index (WABI),Index entries beginning with C,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/b81a521a-911d-488a-a6f7-cc385bce68d9/download/c-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T13:12:32.189228,2016-07-28T13:12:32.189228,Western Australian Biographical Index (WABI),Index entries beginning with D and E,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/aac35a09-f8c0-4e80-9b70-947150047d1c/download/de-final.csv
State Library of Western Australia,,2016-07-28T06:03:57.318987,2016-07-28T06:03:57.318987,Western Australian Biographical Index (WABI),Index entries beginning with D and E,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/d413d101-7cf0-44f3-9a07-dae57e8c4cc0/download/de-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T14:05:33.657529,2016-07-28T14:05:33.657529,Western Australian Biographical Index (WABI),Index entries beginning with F,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/e005b321-ed8e-4a63-be0c-ab7a8d3911c9/download/f-final.csv
State Library of Western Australia,,2016-07-28T06:04:17.256344,2016-07-28T06:04:17.256344,Western Australian Biographical Index (WABI),Index entries beginning with F,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/6ec9b7c7-9c2a-4fd1-8631-fa08abc14bb2/download/f-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T14:10:47.723453,2016-07-28T14:10:47.723453,Western Australian Biographical Index (WABI),Index entries beginning with G,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/6cb9e136-da7b-4851-9e03-5d749c080356/download/g-final.csv
State Library of Western Australia,,2016-07-28T06:04:36.334181,2016-07-28T06:04:36.334181,Western Australian Biographical Index (WABI),Index entries beginning with G,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/88771e32-dcb1-464a-bc53-bd83dd9dba15/download/g-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T13:14:05.931431,2016-07-28T13:14:05.931431,Western Australian Biographical Index (WABI),Index entries beginning with H,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/90cf77ee-b4d9-4903-a0b3-7df211d6bd3c/download/h-final.csv
State Library of Western Australia,,2016-07-28T06:04:51.985994,2016-07-28T06:04:51.985994,Western Australian Biographical Index (WABI),Index entries beginning with H,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/a9e328e9-8222-4156-b2eb-3192759791a5/download/h-final.csv
State Library of Western Australia,State Library of Western Australia,2016-07-28T13:14:33.612057,2016-07-28T13:14:33.612057,Western Australian Biographical Index (WABI),Index entries beginning with I and J,1888-01-01,1914-12-31,,Creative Commons Attribution 3.0 Australia,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd,https://data.gov.au/dataset/1ff394c7-3e70-45d9-b310-2c6c429623dd/resource/02076536-7a67-4428-a179-21715cf23b90/download/ij-final.csv
State Library of Western Australia,,2016-07-28T06:05:09.412886,2016-07-28T06:05:09.412886,Western Australian Biographical Index (WABI),Index entries beginning with I and J,,,,Creative Commons Attribution,https://data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47,https://catalogue.data.wa.gov.au/dataset/6c026ce8-8a18-4920-a7e2-f1719e0d8c47/resource/8b8f13b3-8e73-4d4e-9618-232567165f01/download/ij-final.csv
